party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level,spec_filled
2,오후 3:46,151,레인저,3500,와협,2025-da-ta/txt/1215.txt-12-15,True,True,23.178807947019866,22.00592184070253,3500.0
2,오후 3:46,122,레인저,2790,와협,2025-da-ta/txt/1215.txt-12-15,True,True,22.868852459016395,22.00592184070253,2790.0
3,오후 3:46,99,크루세이더,3200,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,32.323232323232325,32.60640806457493,3200.0
3,오후 3:46,91,크루세이더,2900,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,31.86813186813187,32.60640806457493,2900.0
8,오후 3:47,166,썬콜,1011,망용둥,2025-da-ta/txt/1215.txt-12-15,True,True,6.090361445783133,6.184622503935835,1011.0
9,오후 3:47,161,허밋,3100,망둥쩔,2025-da-ta/txt/1215.txt-12-15,True,True,19.25465838509317,18.212792703515916,3100.0
14,오후 3:47,153,허밋,2920,망용둥,2025-da-ta/txt/1215.txt-12-15,True,True,19.084967320261438,18.212792703515916,2920.0
22,오후 3:48,141,썬콜,870,망용둥,2025-da-ta/txt/1215.txt-12-15,True,True,6.170212765957447,6.184622503935835,870.0
43,오후 3:49,109,허밋,1960,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,17.98165137614679,18.212792703515916,1960.0
43,오후 3:49,84,크루세이더,2700,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,32.142857142857146,32.60640806457493,2700.0
43,오후 3:49,105,용기사,3600,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,34.285714285714285,35.76117331266313,3600.0
55,오후 3:49,133,크루세이더,4300,협동,2025-da-ta/txt/1215.txt-12-15,True,True,32.330827067669176,32.60640806457493,4300.0
61,오후 3:50,126,썬콜,787,불어전,2025-da-ta/txt/1215.txt-12-15,True,True,6.246031746031746,6.184622503935835,787.0
66,오후 3:50,92,프리스트,550,와협,2025-da-ta/txt/1215.txt-12-15,True,True,5.978260869565218,6.105072463768116,550.0
71,오후 3:50,112,프리스트,700,불어전,2025-da-ta/txt/1215.txt-12-15,True,True,6.25,6.105072463768116,700.0
74,오후 3:50,147,허밋,2744,망용둥,2025-da-ta/txt/1215.txt-12-15,True,True,18.666666666666668,18.212792703515916,2744.0
80,오후 3:50,138,썬콜,860,협동,2025-da-ta/txt/1215.txt-12-15,True,True,6.231884057971015,6.184622503935835,860.0
85,오후 3:51,114,용기사,4069,협동,2025-da-ta/txt/1215.txt-12-15,True,True,35.69298245614035,35.76117331266313,4069.0
88,오후 3:51,150,허밋,2900,망둥쩔,2025-da-ta/txt/1215.txt-12-15,True,True,19.333333333333332,18.212792703515916,2900.0
93,오후 3:51,115,프리스트,700,검켄,2025-da-ta/txt/1215.txt-12-15,True,True,6.086956521739131,6.105072463768116,700.0
97,오후 3:51,149,허밋,2800,망둥쩔,2025-da-ta/txt/1215.txt-12-15,True,True,18.79194630872483,18.212792703515916,2800.0
114,오후 5:45,107,레인저,2250,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,21.02803738317757,22.00592184070253,2250.0
114,오후 5:45,112,허밋,2100,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,18.75,18.212792703515916,2100.0
114,오후 5:45,125,용기사,4200,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,33.6,35.76117331266313,4200.0
127,오후 5:45,123,용기사,4300,오징어,2025-da-ta/txt/1215.txt-12-15,True,True,34.959349593495936,35.76117331266313,4300.0
127,오후 5:45,113,레인저,2400,오징어,2025-da-ta/txt/1215.txt-12-15,True,True,21.238938053097346,22.00592184070253,2400.0
127,오후 5:45,114,레인저,2500,오징어,2025-da-ta/txt/1215.txt-12-15,True,True,21.92982456140351,22.00592184070253,2500.0
127,오후 5:45,112,레인저,2400,오징어,2025-da-ta/txt/1215.txt-12-15,True,True,21.428571428571427,22.00592184070253,2400.0
127,오후 5:45,116,허밋,2050,오징어,2025-da-ta/txt/1215.txt-12-15,True,True,17.67241379310345,18.212792703515916,2050.0
153,오후 5:46,110,저격수,2439,오징어,2025-da-ta/txt/1215.txt-12-15,True,True,22.172727272727272,22.172727272727272,2439.0
159,오후 5:46,147,크루세이더,4740,블와둥,2025-da-ta/txt/1215.txt-12-15,True,True,32.244897959183675,32.60640806457493,4740.0
174,오후 5:47,95,크루세이더,3300,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,34.73684210526316,32.60640806457493,3300.0
174,오후 5:47,87,크루세이더,2800,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,32.18390804597701,32.60640806457493,2800.0
183,오후 5:47,93,크루세이더,2986,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,32.10752688172043,32.60640806457493,2986.0
185,오후 5:47,114,레인저,2550,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,22.36842105263158,22.00592184070253,2550.0
185,오후 5:47,94,나이트,3000,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,31.914893617021278,31.851486543609976,3000.0
185,오후 5:47,115,용기사,4000,듀파,2025-da-ta/txt/1215.txt-12-15,True,True,34.78260869565217,35.76117331266313,4000.0
195,오후 5:48,121,허밋,2180,협동,2025-da-ta/txt/1215.txt-12-15,True,True,18.016528925619834,18.212792703515916,2180.0
195,오후 5:48,118,허밋,2150,협동,2025-da-ta/txt/1215.txt-12-15,True,True,18.220338983050848,18.212792703515916,2150.0
