party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level,spec_filled
109,오후 9:06,116,저격수,2733,오징어,2024-12-19,True,True,23.560344827586206,23.560344827586206,2733.0
109,오후 9:06,114,레인저,2470,오징어,2024-12-19,True,True,21.666666666666668,22.312473882012206,2470.0
112,오후 9:07,154,허밋,3030,망둥쩔,2024-12-19,True,True,19.675324675324674,18.446820958045254,3030.0
114,오후 9:07,117,레인저,2640,오징어,2024-12-19,True,True,22.564102564102566,22.312473882012206,2640.0
125,오후 9:07,143,크루세이더,4772,깊바협,2024-12-19,True,True,33.37062937062937,32.40305715850184,4772.0
138,오후 9:08,104,용기사,3550,듀파,2024-12-19,True,True,34.13461538461539,34.72669387854395,3550.0
138,오후 9:08,88,크루세이더,2900,듀파,2024-12-19,True,True,32.95454545454545,32.40305715850184,2900.0
150,오후 9:08,140,썬콜,870,협동,2024-12-19,True,True,6.214285714285714,6.212018881256636,870.0
158,오후 9:08,120,프리스트,753,검켄,2024-12-19,True,True,6.275,6.293080077227747,753.0
162,오후 9:09,126,용기사,4100,듀파,2024-12-19,True,True,32.53968253968254,34.72669387854395,4100.0
164,오후 9:09,97,레인저,2000,붉켄,2024-12-19,True,True,20.61855670103093,22.312473882012206,2000.0
170,오후 9:09,119,크루세이더,3800,협동,2024-12-19,True,True,31.932773109243698,32.40305715850184,3800.0
176,오후 9:09,137,썬콜,850,불어전,2024-12-19,True,True,6.204379562043796,6.212018881256636,850.0
185,오후 9:09,138,크루세이더,4400,블와둥,2024-12-19,True,True,31.884057971014492,32.40305715850184,4400.0
188,오후 9:09,101,허밋,1820,협동,2024-12-19,True,True,18.019801980198018,18.446820958045254,1820.0
189,오후 9:10,120,프리스트,768,불어전,2024-12-19,True,True,6.4,6.293080077227747,768.0
194,오후 9:10,120,프리스트,752,불어전,2024-12-19,True,True,6.266666666666667,6.293080077227747,752.0
220,오후 9:11,147,허밋,2744,블와둥,2024-12-19,True,True,18.666666666666668,18.446820958045254,2744.0
228,오후 9:11,123,허밋,2300,협동,2024-12-19,True,True,18.69918699186992,18.446820958045254,2300.0
228,오후 9:11,130,용기사,4600,협동,2024-12-19,True,True,35.38461538461539,34.72669387854395,4600.0
