party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level,spec_filled
1,오후 1:24,115,프리스트,,망용둥,2024-12-17,True,False,6.320754716981132,6.320754716981132,716.901283205178
3,오후 1:24,155,크루세이더,5051,깊바협,2024-12-17,True,True,32.58709677419355,32.66312755305624,5051.0
3,오후 1:24,159,크루세이더,,깊바협,2024-12-17,True,False,32.66312755305624,32.66312755305624,5264.35760925193
4,오후 1:24,122,허밋,,불어전,2024-12-17,True,False,18.95672462009673,18.95672462009673,2354.284825149909
4,오후 1:24,125,프리스트,,불어전,2024-12-17,True,False,6.320754716981132,6.320754716981132,801.017750701042
4,오후 1:24,131,썬콜,,불어전,2024-12-17,True,False,6.223685685241992,6.223685685241992,807.6283586001862
5,오후 1:24,142,썬콜,,망용둥,2024-12-17,True,False,6.223685685241992,6.223685685241992,871.6646503802763
6,오후 1:24,123,허밋,2229,,2024-12-17,False,True,18.121951219512194,18.95672462009673,2229.0
6,오후 1:24,109,허밋,,,2024-12-17,False,False,18.95672462009673,18.95672462009673,2027.1730565661205
6,오후 1:24,117,저격수,,,2024-12-17,False,False,23.77952755905512,23.77952755905512,2827.3318894499607
8,오후 1:24,155,용기사,,블와둥,2024-12-17,True,False,35.28298371732743,35.28298371732743,5328.882886412882
8,오후 1:24,125,용기사,,블와둥,2024-12-17,True,False,35.28298371732743,35.28298371732743,4420.146932856291
8,오후 1:24,138,용기사,,블와둥,2024-12-17,True,False,35.28298371732743,35.28298371732743,4983.273782702536
9,오후 1:24,123,허밋,2220,협동,2024-12-17,True,True,18.048780487804876,18.95672462009673,2220.0
9,오후 1:24,113,허밋,2000,협동,2024-12-17,True,True,17.699115044247787,18.95672462009673,2000.0
9,오후 1:24,133,썬콜,,협동,2024-12-17,True,False,6.223685685241992,6.223685685241992,832.736702882845
9,오후 1:24,100,프리스트,,협동,2024-12-17,True,False,6.320754716981132,6.320754716981132,643.7770362959651
10,오후 1:24,110,크루세이더,3600,,2024-12-17,False,True,32.72727272727273,32.66312755305624,3600.0
12,오후 1:24,119,용기사,,산양,2024-12-17,True,False,35.28298371732743,35.28298371732743,4098.073270116532
12,오후 1:24,138,썬콜,,산양,2024-12-17,True,False,6.223685685241992,6.223685685241992,884.3638542685695
12,오후 1:24,135,저격수,,산양,2024-12-17,True,False,23.77952755905512,23.77952755905512,3225.1098219978394
12,오후 1:24,132,허밋,,산양,2024-12-17,True,False,18.95672462009673,18.95672462009673,2519.441448008218
13,오후 1:24,160,용기사,6170,,2024-12-17,False,True,38.5625,35.28298371732743,6170.0
13,오후 1:24,122,허밋,2200,,2024-12-17,False,True,18.0327868852459,18.95672462009673,2200.0
13,오후 1:24,163,불독,,,2024-12-17,False,False,6.280725022104332,6.280725022104332,998.4375456088105
13,오후 1:24,113,프리스트,,,2024-12-17,False,False,6.320754716981132,6.320754716981132,735.3078767541166
14,오후 1:24,124,썬콜,,망용둥,2024-12-17,True,False,6.223685685241992,6.223685685241992,764.4247336605323
14,오후 1:24,166,크루세이더,,망용둥,2024-12-17,True,False,32.66312755305624,32.66312755305624,5493.797066379535
14,오후 1:24,168,용기사,,망용둥,2024-12-17,True,False,35.28298371732743,35.28298371732743,5876.383871859715
14,오후 1:24,173,허밋,,망용둥,2024-12-17,True,False,18.95672462009673,18.95672462009673,3300.5886746746614
16,오후 1:24,141,프리스트,,남둥,2024-12-17,True,False,6.320754716981132,6.320754716981132,865.3188869387257
17,오후 1:24,153,허밋,2860,블와둥,2024-12-17,True,True,18.69281045751634,18.95672462009673,2860.0
17,오후 1:24,151,불독,,블와둥,2024-12-17,True,False,6.280725022104332,6.280725022104332,944.4175163402683
18,오후 1:25,139,썬콜,,산양,2024-12-17,True,False,6.223685685241992,6.223685685241992,877.7562124527718
19,오후 1:25,105,레인저,2400,듀파,2024-12-17,True,True,22.857142857142858,22.12227236269116,2400.0
19,오후 1:25,85,나이트,,듀파,2024-12-17,True,False,30.55580877676489,30.55580877676489,2604.9045927631123
19,오후 1:25,118,용기사,,듀파,2024-12-17,True,False,35.28298371732743,35.28298371732743,4214.321112044762
19,오후 1:25,87,프리스트,,듀파,2024-12-17,True,False,6.320754716981132,6.320754716981132,557.158090263136
20,오후 1:25,95,레인저,,,2024-12-17,False,False,22.12227236269116,22.12227236269116,2119.155331640028
21,오후 1:25,165,허밋,3250,망둥쩔,2024-12-17,True,True,19.696969696969695,18.95672462009673,3250.0
21,오후 1:25,143,프리스트,,망둥쩔,2024-12-17,True,False,6.320754716981132,6.320754716981132,914.7747059957195
22,오후 1:25,117,저격수,,불어전,2024-12-17,True,False,23.77952755905512,23.77952755905512,2759.2723886162507
22,오후 1:25,129,프리스트,,불어전,2024-12-17,True,False,6.320754716981132,6.320754716981132,832.1807370896016
22,오후 1:25,146,허밋,,불어전,2024-12-17,True,False,18.95672462009673,18.95672462009673,2798.4987757634726
22,오후 1:25,152,프리스트,,불어전,2024-12-17,True,False,6.320754716981132,6.320754716981132,932.6571567960999
23,오후 1:25,122,프리스트,,검켄,2024-12-17,True,False,6.320754716981132,6.320754716981132,765.2453141754454
25,오후 1:25,151,레인저,,블와둥,2024-12-17,True,False,22.12227236269116,22.12227236269116,3250.361758151967
25,오후 1:25,133,나이트,,블와둥,2024-12-17,True,False,30.55580877676489,30.55580877676489,4019.6512161350497
26,오후 1:25,149,허밋,,망용둥,2024-12-17,True,False,18.95672462009673,18.95672462009673,2797.210331165978
26,오후 1:25,146,썬콜,,망용둥,2024-12-17,True,False,6.223685685241992,6.223685685241992,924.8143198570231
26,오후 1:25,151,저격수,,망용둥,2024-12-17,True,False,23.77952755905512,23.77952755905512,3689.4660128709675
26,오후 1:25,147,허밋,,망용둥,2024-12-17,True,False,18.95672462009673,18.95672462009673,2861.733234552126
26,오후 1:25,110,프리스트,,망용둥,2024-12-17,True,False,6.320754716981132,6.320754716981132,715.5807566888299
26,오후 1:25,114,프리스트,,망용둥,2024-12-17,True,False,6.320754716981132,6.320754716981132,700.6333788579287
29,오후 1:25,96,프리스트,,,2024-12-17,False,False,6.320754716981132,6.320754716981132,593.3256133450026
31,오후 1:25,157,허밋,3160,망용둥,2024-12-17,True,True,20.127388535031848,18.95672462009673,3160.0
32,오후 1:25,133,용기사,,협동,2024-12-17,True,False,35.28298371732743,35.28298371732743,4563.243129968508
32,오후 1:25,120,용기사,,협동,2024-12-17,True,False,35.28298371732743,35.28298371732743,4213.192747979666
32,오후 1:25,139,썬콜,,협동,2024-12-17,True,False,6.223685685241992,6.223685685241992,848.1003419390668
33,오후 1:25,143,용기사,5184,협동,2024-12-17,True,True,36.25174825174825,35.28298371732743,5184.0
33,오후 1:25,124,허밋,2363,협동,2024-12-17,True,True,19.056451612903224,18.95672462009673,2363.0
33,오후 1:25,143,불독,880,협동,2024-12-17,True,True,6.153846153846154,6.280725022104332,880.0
33,오후 1:25,105,프리스트,,협동,2024-12-17,True,False,6.320754716981132,6.320754716981132,668.0013506080426
34,오후 1:25,99,레인저,,붉켄,2024-12-17,True,False,22.12227236269116,22.12227236269116,2220.677397224593
34,오후 1:25,99,허밋,,붉켄,2024-12-17,True,False,18.95672462009673,18.95672462009673,1820.4627444064406
35,오후 1:25,120,용기사,,불어전,2024-12-17,True,False,35.28298371732743,35.28298371732743,4318.931891919271
