party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level,spec_filled,spec_distance,avg_distance_per_job
1,오전 12:36,138,허밋,,블와둥,2024-12-20,True,False,18.36663511270253,18.36663511270253,2567.097070732128,,2302.433364887297
2,오전 12:36,92,프리스트,,,2024-12-20,False,False,,,,,
2,오전 12:36,89,허밋,1500,,2024-12-20,False,True,16.853932584269664,18.36663511270253,1500.0,1481.6333648872974,2302.433364887297
2,오전 12:36,90,허밋,,,2024-12-20,False,False,18.36663511270253,18.36663511270253,1682.462528889555,,2302.433364887297
2,오전 12:36,88,허밋,,,2024-12-20,False,False,18.36663511270253,18.36663511270253,1653.1292697943811,,2302.433364887297
3,오전 12:36,116,프리스트,,,2024-12-20,False,False,,,,,
4,오전 12:36,146,용기사,,협동,2024-12-20,True,False,37.94743130227001,37.94743130227001,5545.346471755252,,5472.05256869773
4,오전 12:36,128,허밋,,협동,2024-12-20,True,False,18.36663511270253,18.36663511270253,2329.449769678426,,2302.433364887297
4,오전 12:36,104,불독,,협동,2024-12-20,True,False,,,,,
4,오전 12:36,125,프리스트,,협동,2024-12-20,True,False,,,,,
6,오전 12:36,119,프리스트,,검켄,2024-12-20,True,False,,,,,
6,오전 12:36,110,허밋,,검켄,2024-12-20,True,False,18.36663511270253,18.36663511270253,1989.9006070878331,,2302.433364887297
6,오전 12:36,103,레인저,,검켄,2024-12-20,True,False,,,,,
6,오전 12:36,134,프리스트,,검켄,2024-12-20,True,False,,,,,
7,오전 12:36,107,허밋,,듀파,2024-12-20,True,False,18.36663511270253,18.36663511270253,1911.9569261768654,,2302.433364887297
8,오전 12:36,122,허밋,,블와둥,2024-12-20,True,False,18.36663511270253,18.36663511270253,2287.4077749149624,,2302.433364887297
8,오전 12:36,111,크루세이더,,블와둥,2024-12-20,True,False,,,,,
8,오전 12:36,123,나이트,,블와둥,2024-12-20,True,False,,,,,
8,오전 12:36,129,용기사,,블와둥,2024-12-20,True,False,37.94743130227001,37.94743130227001,4763.233182018787,,5472.05256869773
8,오전 12:36,128,프리스트,,블와둥,2024-12-20,True,False,,,,,
9,오전 12:36,115,용기사,,,2024-12-20,False,False,37.94743130227001,37.94743130227001,4371.172679604769,,5472.05256869773
10,오전 12:36,122,저격수,,검켄,2024-12-20,True,False,22.641509433962263,22.641509433962263,2779.1234602669397,,2377.3584905660377
11,오전 12:36,144,크루세이더,,협동,2024-12-20,True,False,,,,,
12,오전 12:36,171,용기사,,망용둥,2024-12-20,True,False,37.94743130227001,37.94743130227001,6623.669052507826,,5472.05256869773
12,오전 12:36,160,용기사,,망용둥,2024-12-20,True,False,37.94743130227001,37.94743130227001,5970.322275650344,,5472.05256869773
13,오전 12:36,98,썬콜,,갈림길,2024-12-20,True,False,,,,,
13,오전 12:36,143,허밋,,갈림길,2024-12-20,True,False,18.36663511270253,18.36663511270253,2686.0688672770025,,2302.433364887297
14,오전 12:36,111,썬콜,,불어전,2024-12-20,True,False,,,,,
14,오전 12:36,136,용기사,,불어전,2024-12-20,True,False,37.94743130227001,37.94743130227001,5143.618021866354,,5472.05256869773
14,오전 12:36,140,프리스트,,불어전,2024-12-20,True,False,,,,,
15,오전 12:36,103,레인저,,듀파,2024-12-20,True,False,,,,,
