party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level,refined_average_spec_to_level
6,오후 3:31,117,레인저,2950,오징어,2024-12-07,True,25.213675213675213,23.315265259182635,22.90738373825891
6,오후 3:31,117,크루세이더,3696,오징어,2024-12-07,True,31.58974358974359,33.44690268542154,34.01327804169895
6,오후 3:31,127,허밋,2096,오징어,2024-12-07,True,16.503937007874015,20.539495113111144,19.21542439847198
6,오후 3:31,109,허밋,2300,오징어,2024-12-07,True,21.10091743119266,20.539495113111144,19.21542439847198
18,오후 3:31,149,프리스트,910,불어전,2024-12-07,True,6.10738255033557,6.215400207393832,6.215400207393832
19,오후 3:31,131,프리스트,815,불어전,2024-12-07,True,6.221374045801527,6.215400207393832,6.215400207393832
27,오후 3:32,84,나이트,2800,듀파,2024-12-07,True,33.333333333333336,31.906349206349205,31.906349206349205
32,오후 3:32,121,레인저,3250,망둥어,2024-12-07,True,26.859504132231404,23.315265259182635,22.90738373825891
35,오후 3:32,119,용기사,4152,오징어,2024-12-07,True,34.890756302521005,38.1321906246111,37.12041256589504
35,오후 3:32,103,크루세이더,3750,오징어,2024-12-07,True,36.407766990291265,33.44690268542154,34.01327804169895
47,오후 3:32,101,레인저,2750,오징어,2024-12-07,True,27.22772277227723,23.315265259182635,22.90738373825891
47,오후 3:32,111,레인저,2350,오징어,2024-12-07,True,21.17117117117117,23.315265259182635,22.90738373825891
47,오후 3:32,101,레인저,2450,오징어,2024-12-07,True,24.257425742574256,23.315265259182635,22.90738373825891
112,오후 3:39,102,레인저,2400,듀파,2024-12-07,True,23.529411764705884,23.315265259182635,22.90738373825891
112,오후 3:39,86,크루세이더,3300,듀파,2024-12-07,True,38.372093023255815,33.44690268542154,34.01327804169895
120,오후 3:40,138,크루세이더,4600,,2024-12-07,True,33.333333333333336,33.44690268542154,34.01327804169895
140,오후 3:41,117,크루세이더,4154,,2024-12-07,True,35.504273504273506,33.44690268542154,34.01327804169895
150,오후 3:41,103,레인저,2400,,2024-12-07,True,23.300970873786408,23.315265259182635,22.90738373825891
150,오후 3:41,104,허밋,1870,,2024-12-07,True,17.98076923076923,20.539495113111144,19.21542439847198
150,오후 3:41,89,크루세이더,3500,,2024-12-07,True,39.325842696629216,33.44690268542154,34.01327804169895
150,오후 3:41,90,나이트,2579,,2024-12-07,True,28.655555555555555,31.906349206349205,31.906349206349205
173,오후 3:41,149,크루세이더,4450,망둥어,2024-12-07,True,29.86577181208054,33.44690268542154,34.01327804169895
180,오후 3:41,117,크루세이더,3900,오징어,2024-12-07,True,33.333333333333336,33.44690268542154,34.01327804169895
180,오후 3:41,116,레인저,2450,오징어,2024-12-07,True,21.120689655172413,23.315265259182635,22.90738373825891
180,오후 3:41,103,허밋,2164,오징어,2024-12-07,True,21.009708737864077,20.539495113111144,19.21542439847198
180,오후 3:41,121,레인저,2322,오징어,2024-12-07,True,19.1900826446281,23.315265259182635,22.90738373825891
198,오후 8:14,105,용기사,4500,,2024-12-07,True,42.857142857142854,38.1321906246111,37.12041256589504
207,오후 8:15,124,시프,2400,오징어,2024-12-07,True,19.35483870967742,21.4361897299079,21.4361897299079
207,오후 8:15,111,크루세이더,3850,오징어,2024-12-07,True,34.68468468468468,33.44690268542154,34.01327804169895
207,오후 8:15,116,레인저,2400,오징어,2024-12-07,True,20.689655172413794,23.315265259182635,22.90738373825891
207,오후 8:15,111,크루세이더,3270,오징어,2024-12-07,True,29.45945945945946,33.44690268542154,34.01327804169895
217,오후 8:15,129,저격수,3000,망둥어,2024-12-07,True,23.25581395348837,22.620615242879722,22.620615242879722
217,오후 8:15,112,용기사,4700,망둥어,2024-12-07,True,41.964285714285715,38.1321906246111,37.12041256589504
246,오후 8:16,126,크루세이더,3900,,2024-12-07,True,30.952380952380953,33.44690268542154,34.01327804169895
254,오후 8:16,133,크루세이더,4600,망둥어,2024-12-07,True,34.58646616541353,33.44690268542154,34.01327804169895
254,오후 8:16,123,허밋,2587,망둥어,2024-12-07,True,21.03252032520325,20.539495113111144,19.21542439847198
275,오후 8:17,134,프리스트,810,불어전,2024-12-07,True,6.044776119402985,6.215400207393832,6.215400207393832
278,오후 8:17,129,크루세이더,4351,,2024-12-07,True,33.72868217054263,33.44690268542154,34.01327804169895
362,오후 10:52,133,프리스트,815,불어전,2024-12-07,True,6.12781954887218,6.215400207393832,6.215400207393832
363,오후 10:52,103,저격수,2600,,2024-12-07,True,25.24271844660194,22.620615242879722,22.620615242879722
363,오후 10:52,114,용기사,3600,,2024-12-07,True,31.57894736842105,38.1321906246111,37.12041256589504
366,오후 10:52,91,레인저,2175,듀파,2024-12-07,True,23.9010989010989,23.315265259182635,22.90738373825891
366,오후 10:52,91,시프,2175,듀파,2024-12-07,True,23.9010989010989,21.4361897299079,21.4361897299079
366,오후 10:52,112,저격수,2175,듀파,2024-12-07,True,19.419642857142858,22.620615242879722,22.620615242879722
366,오후 10:52,98,레인저,2450,듀파,2024-12-07,True,25.0,23.315265259182635,22.90738373825891
366,오후 10:52,90,용기사,3450,듀파,2024-12-07,True,38.333333333333336,38.1321906246111,37.12041256589504
366,오후 10:52,104,크루세이더,2900,듀파,2024-12-07,True,27.884615384615383,33.44690268542154,34.01327804169895
366,오후 10:52,92,크루세이더,3500,듀파,2024-12-07,True,38.04347826086956,33.44690268542154,34.01327804169895
366,오후 10:52,97,허밋,1600,듀파,2024-12-07,True,16.49484536082474,20.539495113111144,19.21542439847198
366,오후 10:52,96,크루세이더,3027,듀파,2024-12-07,True,31.53125,33.44690268542154,34.01327804169895
