party_id,time,level,job,spec,map,date,valid,valid_spec
1,오후 5:42,,불독,,듀파,2024-12-13,True,False
1,오후 5:42,91,프리스트,,듀파,2024-12-13,True,False
3,오후 5:42,,레인저,,듀파,2024-12-13,True,False
3,오후 5:42,121,레인저,,듀파,2024-12-13,True,False
3,오후 5:42,98,용기사,,듀파,2024-12-13,True,False
3,오후 5:42,113,프리스트,,듀파,2024-12-13,True,False
4,오후 5:42,132,썬콜,,망용둥,2024-12-13,True,False
4,오후 5:42,132,썬콜,,망용둥,2024-12-13,True,False
5,오후 5:43,,허밋,,붉켄,2024-12-13,True,False
5,오후 5:43,95,저격수,,붉켄,2024-12-13,True,False
5,오후 5:43,95,프리스트,,붉켄,2024-12-13,True,False
7,오후 5:43,,허밋,2100,협동,2024-12-13,True,False
7,오후 5:43,,용기사,,협동,2024-12-13,True,False
7,오후 5:43,130,썬콜,920,협동,2024-12-13,True,True
7,오후 5:43,149,썬콜,,협동,2024-12-13,True,False
8,오후 5:43,,용기사,,블와둥,2024-12-13,True,False
8,오후 5:43,134,크루세이더,,블와둥,2024-12-13,True,False
8,오후 5:43,125,용기사,,블와둥,2024-12-13,True,False
8,오후 5:43,125,프리스트,,블와둥,2024-12-13,True,False
10,오후 5:43,,허밋,,붉켄,2024-12-13,True,False
10,오후 5:43,,레인저,,붉켄,2024-12-13,True,False
10,오후 5:43,,프리스트,,붉켄,2024-12-13,True,False
10,오후 5:43,,썬콜,,붉켄,2024-12-13,True,False
11,오후 5:43,,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
11,오후 5:43,110,프리스트,,망용둥,2024-12-13,True,False
12,오후 5:43,,용기사,,블와둥,2024-12-13,True,False
12,오후 5:43,134,크루세이더,,블와둥,2024-12-13,True,False
12,오후 5:43,125,용기사,,블와둥,2024-12-13,True,False
12,오후 5:43,125,프리스트,,블와둥,2024-12-13,True,False
13,오후 5:43,,썬콜,,골짜기,2024-12-13,True,False
13,오후 5:43,,허밋,,골짜기,2024-12-13,True,False
13,오후 5:43,,허밋,,골짜기,2024-12-13,True,False
14,오후 5:43,,프리스트,,불어전,2024-12-13,True,False
14,오후 5:43,,프리스트,,불어전,2024-12-13,True,False
16,오후 5:43,,허밋,,붉켄,2024-12-13,True,False
16,오후 5:43,95,저격수,,붉켄,2024-12-13,True,False
16,오후 5:43,85,프리스트,,붉켄,2024-12-13,True,False
17,오후 5:43,,불독,,협동,2024-12-13,True,False
17,오후 5:43,149,불독,,협동,2024-12-13,True,False
19,오후 5:43,98,허밋,,협동,2024-12-13,True,False
19,오후 5:43,98,용기사,,협동,2024-12-13,True,False
19,오후 5:43,98,썬콜,,협동,2024-12-13,True,False
19,오후 5:43,98,썬콜,,협동,2024-12-13,True,False
20,오후 5:43,,썬콜,,망용둥,2024-12-13,True,False
