party_id,time,level,job,spec,map,date,valid,valid_spec
44,오후 3:32,,허밋,2220,푸켄,2024-12-07,False,False
44,오후 3:32,,허밋,2220,푸켄,2024-12-07,False,False
46,오후 3:32,,썬콜,,불어전,2024-12-07,False,False
46,오후 3:32,,프리스트,,불어전,2024-12-07,False,False
46,오후 3:32,,허밋,,불어전,2024-12-07,False,False
46,오후 3:32,,썬콜,,불어전,2024-12-07,False,False
46,오후 3:32,,프리스트,,불어전,2024-12-07,False,False
47,오후 3:32,101,레인저,2750,오징어,2024-12-07,True,True
47,오후 3:32,111,레인저,2350,오징어,2024-12-07,True,True
47,오후 3:32,101,레인저,2450,오징어,2024-12-07,True,True
47,오후 3:32,,허밋,1800,오징어,2024-12-07,False,False
48,오후 3:32,,프리스트,,검켄,2024-12-07,False,False
49,오후 3:32,,허밋,,듀파,2024-12-07,False,False
49,오후 3:32,,크루세이더,,듀파,2024-12-07,False,False
50,오후 3:32,129,허밋,,협동,2024-12-07,False,False
50,오후 3:32,129,썬콜,,협동,2024-12-07,False,False
50,오후 3:32,,불독,,협동,2024-12-07,False,False
51,오후 3:33,,프리스트,,,2024-12-07,False,False
52,오후 3:33,98,레인저,,듀파,2024-12-07,False,False
52,오후 3:33,105,크루세이더,,듀파,2024-12-07,False,False
52,오후 3:33,,나이트,,듀파,2024-12-07,False,False
52,오후 3:33,,프리스트,,듀파,2024-12-07,False,False
53,오후 3:33,120,레인저,,레와둥,2024-12-07,False,False
53,오후 3:33,127,나이트,,레와둥,2024-12-07,False,False
53,오후 3:33,,썬콜,,레와둥,2024-12-07,False,False
53,오후 3:33,,프리스트,,레와둥,2024-12-07,False,False
54,오후 3:37,,허밋,2220,푸켄,2024-12-07,False,False
54,오후 3:37,,허밋,2220,푸켄,2024-12-07,False,False
54,오후 3:37,,허밋,2220,푸켄,2024-12-07,False,False
55,오후 3:37,,프리스트,,검켄,2024-12-07,False,False
56,오후 3:37,,저격수,2910,,2024-12-07,False,False
57,오후 3:37,,썬콜,,불어전,2024-12-07,False,False
57,오후 3:37,,프리스트,,불어전,2024-12-07,False,False
57,오후 3:37,,썬콜,,불어전,2024-12-07,False,False
57,오후 3:37,,프리스트,,불어전,2024-12-07,False,False
57,오후 3:37,,프리스트,,불어전,2024-12-07,False,False
58,오후 3:37,,프리스트,,망용둥,2024-12-07,False,False
59,오후 3:37,121,레인저,3250,망둥어,2024-12-07,True,True
59,오후 3:37,,프리스트,,망둥어,2024-12-07,False,False
60,오후 3:37,120,크루세이더,2620,오징어,2024-12-07,False,False
60,오후 3:37,,레인저,2620,오징어,2024-12-07,False,False
60,오후 3:37,,허밋,2030,오징어,2024-12-07,False,False
61,오후 3:37,,프리스트,,,2024-12-07,False,False
61,오후 3:37,,프리스트,,,2024-12-07,False,False
61,오후 3:37,,프리스트,,,2024-12-07,False,False
62,오후 3:37,135,프리스트,,불어전,2024-12-07,False,False
62,오후 3:37,135,프리스트,,불어전,2024-12-07,False,False
62,오후 3:37,135,프리스트,,불어전,2024-12-07,False,False
62,오후 3:37,135,프리스트,,불어전,2024-12-07,False,False
62,오후 3:37,,프리스트,,불어전,2024-12-07,False,False
63,오후 3:38,,썬콜,,,2024-12-07,False,False
64,오후 3:38,,프리스트,,망둥어,2024-12-07,False,False
65,오후 3:38,,프리스트,,물어전,2024-12-07,False,False
66,오후 3:38,118,저격수,,망둥어,2024-12-07,False,False
66,오후 3:38,124,레인저,,망둥어,2024-12-07,False,False
66,오후 3:38,,크루세이더,,망둥어,2024-12-07,False,False
67,오후 3:38,129,허밋,,협동,2024-12-07,False,False
67,오후 3:38,129,썬콜,,협동,2024-12-07,False,False
67,오후 3:38,98,불독,,협동,2024-12-07,False,False
68,오후 3:38,,썬콜,,불어전,2024-12-07,False,False
68,오후 3:38,,프리스트,,불어전,2024-12-07,False,False
68,오후 3:38,,프리스트,,불어전,2024-12-07,False,False
70,오후 3:38,,프리스트,,망둥어,2024-12-07,False,False
71,오후 3:38,110,용기사,,골짜기,2024-12-07,False,False
71,오후 3:38,110,허밋,,골짜기,2024-12-07,False,False
71,오후 3:38,,썬콜,,골짜기,2024-12-07,False,False
71,오후 3:38,,허밋,,골짜기,2024-12-07,False,False
72,오후 3:38,110,용기사,,골짜기,2024-12-07,False,False
72,오후 3:38,110,허밋,,골짜기,2024-12-07,False,False
72,오후 3:38,,썬콜,,골짜기,2024-12-07,False,False
72,오후 3:38,,허밋,,골짜기,2024-12-07,False,False
73,오후 3:38,,시프,,,2024-12-07,False,False
74,오후 3:38,,썬콜,,망용둥,2024-12-07,False,False
75,오후 3:38,,프리스트,,검켄,2024-12-07,False,False
76,오후 3:38,127,크루세이더,,오징어,2024-12-07,False,False
76,오후 3:38,,용기사,,오징어,2024-12-07,False,False
76,오후 3:38,,프리스트,,오징어,2024-12-07,False,False
77,오후 3:38,158,허밋,,위용둥,2024-12-07,False,False
77,오후 3:38,161,레인저,,위용둥,2024-12-07,False,False
77,오후 3:38,161,크루세이더,,위용둥,2024-12-07,False,False
77,오후 3:38,,크루세이더,,위용둥,2024-12-07,False,False
