party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level
47,오후 3:32,111,레인저,2350,오징어,2024-12-07,True,21.17117117117117,23.436526497299532
47,오후 3:32,101,레인저,2450,오징어,2024-12-07,True,24.257425742574256,23.436526497299532
47,오후 3:32,180,허밋,1800,오징어,2024-12-07,True,10.0,18.86360871563267
48,오후 3:32,,프리스트,780,검켄,2024-12-07,False,,6.215757789824323
49,오후 3:32,93,허밋,,듀파,2024-12-07,True,,18.86360871563267
49,오후 3:32,,크루세이더,,듀파,2024-12-07,False,,35.442523907344
50,오후 3:32,130,허밋,unknown,,2024-12-07,False,,18.86360871563267
50,오후 3:32,129,썬콜,unknown,,2024-12-07,False,,6.891684809695825
50,오후 3:32,90,불독,,,2024-12-07,True,,
52,오후 3:33,98,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
52,오후 3:33,105,크루세이더,unknown,듀파,2024-12-07,False,,35.442523907344
52,오후 3:33,82,나이트,,듀파,2024-12-07,True,,30.994444444444447
56,오후 3:37,,저격수,2910,망둥용,2024-12-07,False,,23.21914787922896
60,오후 3:37,120,크루세이더,unknown,오징어,2024-12-07,False,,35.442523907344
60,오후 3:37,118,레인저,2620,오징어,2024-12-07,True,22.203389830508474,23.436526497299532
60,오후 3:37,96,허밋,2030,오징어,2024-12-07,True,21.145833333333332,18.86360871563267
61,오후 3:37,117,프리스트,unknown,,2024-12-07,False,,6.215757789824323
62,오후 3:37,135,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
66,오후 3:38,118,저격수,unknown,망둥어,2024-12-07,False,,23.21914787922896
66,오후 3:38,124,레인저,unknown,망둥어,2024-12-07,False,,23.436526497299532
67,오후 3:38,90,불독,unknown,,2024-12-07,False,,
68,오후 3:38,122,썬콜,unknown,불어전,2024-12-07,False,,6.891684809695825
68,오후 3:38,152,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
71,오후 3:38,115,용기사,unknown,골짜기,2024-12-07,False,,37.91186019836644
71,오후 3:38,112,썬콜,unknown,골짜기,2024-12-07,False,,6.891684809695825
73,오후 3:38,,시프,,,2024-12-07,False,,23.9010989010989
77,오후 3:38,100,허밋,unknown,,2024-12-07,False,,18.86360871563267
77,오후 3:38,161,레인저,unknown,,2024-12-07,False,,23.436526497299532
77,오후 3:38,161,크루세이더,unknown,,2024-12-07,False,,35.442523907344
78,오후 3:38,134,프리스트,800,불어전,2024-12-07,True,5.970149253731344,6.215757789824323
80,오후 3:38,130,썬콜,unknown,,2024-12-07,False,,6.891684809695825
80,오후 3:38,98,레인저,,,2024-12-07,True,,23.436526497299532
83,오후 3:38,138,용기사,unknown,,2024-12-07,False,,37.91186019836644
83,오후 3:38,140,썬콜,unknown,,2024-12-07,False,,6.891684809695825
85,오후 3:38,93,허밋,unknown,듀파,2024-12-07,False,,18.86360871563267
85,오후 3:38,113,크루세이더,unknown,듀파,2024-12-07,False,,35.442523907344
88,오후 3:38,185,허밋,1850,불어전,2024-12-07,True,10.0,18.86360871563267
94,오후 3:39,136,레인저,unknown,,2024-12-07,False,,23.436526497299532
94,오후 3:39,150,레인저,unknown,,2024-12-07,False,,23.436526497299532
94,오후 3:39,107,저격수,unknown,,2024-12-07,False,,23.21914787922896
94,오후 3:39,122,프리스트,unknown,,2024-12-07,False,,6.215757789824323
95,오후 3:39,124,썬콜,unknown,,2024-12-07,False,,6.891684809695825
95,오후 3:39,100,나이트,unknown,,2024-12-07,False,,30.994444444444447
98,오후 3:39,145,용기사,unknown,,2024-12-07,False,,37.91186019836644
99,오후 3:39,139,용기사,unknown,듀파,2024-12-07,False,,37.91186019836644
99,오후 3:39,130,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
99,오후 3:39,119,허밋,unknown,듀파,2024-12-07,False,,18.86360871563267
99,오후 3:39,145,허밋,unknown,듀파,2024-12-07,False,,18.86360871563267
99,오후 3:39,88,허밋,,듀파,2024-12-07,True,,18.86360871563267
100,오후 3:39,122,레인저,unknown,,2024-12-07,False,,23.436526497299532
100,오후 3:39,134,나이트,unknown,,2024-12-07,False,,30.994444444444447
103,오후 3:39,,허밋,2900,,2024-12-07,False,,18.86360871563267
105,오후 3:39,105,불독,unknown,와협,2024-12-07,False,,
105,오후 3:39,114,용기사,unknown,와협,2024-12-07,False,,37.91186019836644
110,오후 3:39,101,레인저,unknown,붉켄,2024-12-07,False,,23.436526497299532
110,오후 3:39,115,레인저,unknown,붉켄,2024-12-07,False,,23.436526497299532
111,오후 3:39,124,용기사,unknown,와협,2024-12-07,False,,37.91186019836644
111,오후 3:39,134,레인저,unknown,와협,2024-12-07,False,,23.436526497299532
111,오후 3:39,110,저격수,unknown,와협,2024-12-07,False,,23.21914787922896
112,오후 3:39,102,레인저,2400,듀파,2024-12-07,True,23.529411764705884,23.436526497299532
112,오후 3:39,86,크루세이더,3300,듀파,2024-12-07,True,38.372093023255815,35.442523907344
112,오후 3:39,82,용기사,,듀파,2024-12-07,True,,37.91186019836644
114,오후 3:40,98,불독,unknown,,2024-12-07,False,,
117,오후 3:40,111,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
117,오후 3:40,95,허밋,,듀파,2024-12-07,True,,18.86360871563267
117,오후 3:40,94,크루세이더,,듀파,2024-12-07,True,,35.442523907344
117,오후 3:40,87,용기사,,듀파,2024-12-07,True,,37.91186019836644
120,오후 3:40,138,크루세이더,4600,,2024-12-07,True,33.333333333333336,35.442523907344
120,오후 3:40,,크루세이더,4600,,2024-12-07,False,,35.442523907344
123,오후 3:40,134,용기사,unknown,골짜기,2024-12-07,False,,37.91186019836644
128,오후 3:40,86,저격수,unknown,붉켄,2024-12-07,False,,23.21914787922896
128,오후 3:40,106,레인저,unknown,붉켄,2024-12-07,False,,23.436526497299532
128,오후 3:40,104,썬콜,unknown,붉켄,2024-12-07,False,,6.891684809695825
130,오후 3:40,112,허밋,unknown,,2024-12-07,False,,18.86360871563267
131,오후 3:40,132,저격수,unknown,,2024-12-07,False,,23.21914787922896
134,오후 3:40,122,용기사,unknown,골짜기,2024-12-07,False,,37.91186019836644
139,오후 3:41,96,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
139,오후 3:41,98,용기사,unknown,듀파,2024-12-07,False,,37.91186019836644
140,오후 3:41,117,크루세이더,4154,,2024-12-07,True,35.504273504273506,35.442523907344
140,오후 3:41,116,허밋,2100,,2024-12-07,True,18.103448275862068,18.86360871563267
141,오후 3:41,108,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
141,오후 3:41,88,용기사,unknown,듀파,2024-12-07,False,,37.91186019836644
141,오후 3:41,124,나이트,unknown,듀파,2024-12-07,False,,30.994444444444447
144,오후 3:41,143,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
146,오후 3:41,,레인저,,,2024-12-07,False,,23.436526497299532
148,오후 3:41,84,용기사,unknown,듀파,2024-12-07,False,,37.91186019836644
148,오후 3:41,106,허밋,unknown,듀파,2024-12-07,False,,18.86360871563267
150,오후 3:41,103,레인저,2400,,2024-12-07,True,23.300970873786408,23.436526497299532
150,오후 3:41,187,허밋,1870,,2024-12-07,True,10.0,18.86360871563267
150,오후 3:41,89,크루세이더,3500,,2024-12-07,True,39.325842696629216,35.442523907344
150,오후 3:41,90,나이트,2579,,2024-12-07,True,28.655555555555555,30.994444444444447
173,오후 3:41,149,크루세이더,4450,망둥어,2024-12-07,True,29.86577181208054,35.442523907344
173,오후 3:41,117,레인저,3400,망둥어,2024-12-07,True,29.05982905982906,23.436526497299532
174,오후 3:41,114,프리스트,unknown,검켄,2024-12-07,False,,6.215757789824323
174,오후 3:41,108,프리스트,unknown,검켄,2024-12-07,False,,6.215757789824323
175,오후 3:41,100,썬콜,795,불어전,2024-12-07,True,7.95,6.891684809695825
178,오후 3:41,118,허밋,unknown,푸켄,2024-12-07,False,,18.86360871563267
179,오후 3:41,92,프리스트,,갈림길,2024-12-07,True,,6.215757789824323
180,오후 3:41,117,크루세이더,3900,오징어,2024-12-07,True,33.333333333333336,35.442523907344
180,오후 3:41,116,레인저,2450,오징어,2024-12-07,True,21.120689655172413,23.436526497299532
180,오후 3:41,103,허밋,2164,오징어,2024-12-07,True,21.009708737864077,18.86360871563267
180,오후 3:41,121,레인저,2322,오징어,2024-12-07,True,19.1900826446281,23.436526497299532
181,오후 3:41,,프리스트,640,불어전,2024-12-07,False,,6.215757789824323
186,오후 3:42,118,썬콜,unknown,불어전,2024-12-07,False,,6.891684809695825
190,오후 8:14,104,프리스트,unknown,,2024-12-07,False,,6.215757789824323
191,오후 8:14,105,용기사,unknown,,2024-12-07,False,,37.91186019836644
191,오후 8:14,99,용기사,,,2024-12-07,True,,37.91186019836644
192,오후 8:14,,프리스트,872,불어전,2024-12-07,False,,6.215757789824323
194,오후 8:14,113,허밋,unknown,푸켄,2024-12-07,False,,18.86360871563267
194,오후 8:14,83,허밋,2110,푸켄,2024-12-07,True,25.42168674698795,18.86360871563267
195,오후 8:14,131,허밋,unknown,와협,2024-12-07,False,,18.86360871563267
195,오후 8:14,114,레인저,unknown,와협,2024-12-07,False,,23.436526497299532
196,오후 8:14,91,크루세이더,,듀파,2024-12-07,True,,35.442523907344
196,오후 8:14,88,용기사,,듀파,2024-12-07,True,,37.91186019836644
197,오후 8:14,,허밋,2683,불어전,2024-12-07,False,,18.86360871563267
198,오후 8:14,117,용기사,unknown,,2024-12-07,False,,37.91186019836644
198,오후 8:14,105,용기사,4500,,2024-12-07,True,42.857142857142854,37.91186019836644
201,오후 8:14,120,저격수,unknown,와협,2024-12-07,False,,23.21914787922896
201,오후 8:14,101,저격수,unknown,와협,2024-12-07,False,,23.21914787922896
203,오후 8:14,140,크루세이더,unknown,,2024-12-07,False,,35.442523907344
203,오후 8:14,104,허밋,2680,,2024-12-07,True,25.76923076923077,18.86360871563267
204,오후 8:14,99,썬콜,,,2024-12-07,True,,6.891684809695825
206,오후 8:15,149,허밋,unknown,,2024-12-07,False,,18.86360871563267
206,오후 8:15,154,레인저,unknown,,2024-12-07,False,,23.436526497299532
206,오후 8:15,153,썬콜,unknown,,2024-12-07,False,,6.891684809695825
207,오후 8:15,124,시프,unknown,오징어,2024-12-07,False,,23.9010989010989
207,오후 8:15,111,크루세이더,3850,오징어,2024-12-07,True,34.68468468468468,35.442523907344
207,오후 8:15,116,레인저,2400,오징어,2024-12-07,True,20.689655172413794,23.436526497299532
207,오후 8:15,111,크루세이더,3270,오징어,2024-12-07,True,29.45945945945946,35.442523907344
207,오후 8:15,99,레인저,2530,오징어,2024-12-07,True,25.555555555555557,23.436526497299532
208,오후 8:15,110,용기사,unknown,와협,2024-12-07,False,,37.91186019836644
208,오후 8:15,99,레인저,,와협,2024-12-07,True,,23.436526497299532
209,오후 8:15,154,용기사,unknown,,2024-12-07,False,,37.91186019836644
210,오후 8:15,103,불독,unknown,,2024-12-07,False,,
212,오후 8:15,,허밋,2300,불어전,2024-12-07,False,,18.86360871563267
213,오후 8:15,140,나이트,unknown,,2024-12-07,False,,30.994444444444447
215,오후 8:15,107,프리스트,unknown,검켄,2024-12-07,False,,6.215757789824323
215,오후 8:15,116,프리스트,unknown,검켄,2024-12-07,False,,6.215757789824323
216,오후 8:15,148,크루세이더,unknown,망둥어,2024-12-07,False,,35.442523907344
217,오후 8:15,129,저격수,3000,망둥어,2024-12-07,True,23.25581395348837,23.21914787922896
217,오후 8:15,112,용기사,4700,망둥어,2024-12-07,True,41.964285714285715,37.91186019836644
219,오후 8:15,148,썬콜,unknown,,2024-12-07,False,,6.891684809695825
219,오후 8:15,146,허밋,unknown,,2024-12-07,False,,18.86360871563267
219,오후 8:15,,허밋,unknown,,2024-12-07,False,,18.86360871563267
220,오후 8:15,,허밋,2150,푸켄,2024-12-07,False,,18.86360871563267
221,오후 8:15,150,허밋,unknown,붉켄,2024-12-07,False,,18.86360871563267
221,오후 8:15,83,썬콜,,붉켄,2024-12-07,True,,6.891684809695825
223,오후 8:15,131,용기사,unknown,,2024-12-07,False,,37.91186019836644
223,오후 8:15,131,레인저,2600,,2024-12-07,True,19.84732824427481,23.436526497299532
223,오후 8:15,115,크루세이더,unknown,,2024-12-07,False,,35.442523907344
223,오후 8:15,95,허밋,unknown,,2024-12-07,False,,18.86360871563267
223,오후 8:15,,프리스트,850,,2024-12-07,False,,6.215757789824323
224,오후 8:15,95,썬콜,unknown,,2024-12-07,False,,6.891684809695825
224,오후 8:15,148,저격수,unknown,,2024-12-07,False,,23.21914787922896
225,오후 8:15,,허밋,2146,,2024-12-07,False,,18.86360871563267
227,오후 8:15,135,허밋,unknown,갈림길,2024-12-07,False,,18.86360871563267
227,오후 8:15,93,크루세이더,,갈림길,2024-12-07,True,,35.442523907344
228,오후 8:15,132,용기사,4500,불어전,2024-12-07,True,34.09090909090909,37.91186019836644
228,오후 8:15,,용기사,4500,불어전,2024-12-07,False,,37.91186019836644
229,오후 8:15,109,프리스트,714,불어전,2024-12-07,True,6.5504587155963305,6.215757789824323
229,오후 8:15,,프리스트,714,불어전,2024-12-07,False,,6.215757789824323
230,오후 8:15,,프리스트,896,검켄,2024-12-07,False,,6.215757789824323
231,오후 8:15,87,크루세이더,,듀파,2024-12-07,True,,35.442523907344
231,오후 8:15,91,나이트,,듀파,2024-12-07,True,,30.994444444444447
232,오후 8:15,125,썬콜,unknown,,2024-12-07,False,,6.891684809695825
232,오후 8:15,101,썬콜,unknown,,2024-12-07,False,,6.891684809695825
236,오후 8:15,121,썬콜,unknown,,2024-12-07,False,,6.891684809695825
237,오후 8:16,111,저격수,unknown,듀파,2024-12-07,False,,23.21914787922896
237,오후 8:16,88,크루세이더,unknown,듀파,2024-12-07,False,,35.442523907344
238,오후 8:16,107,레인저,unknown,,2024-12-07,False,,23.436526497299532
238,오후 8:16,,썬콜,unknown,,2024-12-07,False,,6.891684809695825
239,오후 8:16,,불독,,,2024-12-07,False,,
240,오후 8:16,129,불독,unknown,,2024-12-07,False,,
241,오후 8:16,128,나이트,unknown,,2024-12-07,False,,30.994444444444447
241,오후 8:16,99,불독,,,2024-12-07,True,,
242,오후 8:16,82,용기사,unknown,,2024-12-07,False,,37.91186019836644
245,오후 8:16,123,레인저,unknown,,2024-12-07,False,,23.436526497299532
246,오후 8:16,126,크루세이더,3900,,2024-12-07,True,30.952380952380953,35.442523907344
246,오후 8:16,,크루세이더,3900,,2024-12-07,False,,35.442523907344
247,오후 8:16,118,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
247,오후 8:16,137,나이트,unknown,듀파,2024-12-07,False,,30.994444444444447
247,오후 8:16,88,크루세이더,,듀파,2024-12-07,True,,35.442523907344
248,오후 8:16,141,레인저,unknown,와협,2024-12-07,False,,23.436526497299532
251,오후 8:16,158,썬콜,unknown,,2024-12-07,False,,6.891684809695825
253,오후 8:16,123,용기사,unknown,골짜기,2024-12-07,False,,37.91186019836644
253,오후 8:16,87,허밋,,골짜기,2024-12-07,True,,18.86360871563267
254,오후 8:16,133,크루세이더,4600,망둥어,2024-12-07,True,34.58646616541353,35.442523907344
254,오후 8:16,123,허밋,2587,망둥어,2024-12-07,True,21.03252032520325,18.86360871563267
255,오후 8:16,88,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
255,오후 8:16,112,크루세이더,unknown,듀파,2024-12-07,False,,35.442523907344
255,오후 8:16,83,나이트,,듀파,2024-12-07,True,,30.994444444444447
256,오후 8:16,112,프리스트,unknown,,2024-12-07,False,,6.215757789824323
259,오후 8:16,,크루세이더,unknown,,2024-12-07,False,,35.442523907344
261,오후 8:17,98,불독,,,2024-12-07,True,,
266,오후 8:17,86,시프,unknown,,2024-12-07,False,,23.9010989010989
266,오후 8:17,110,썬콜,unknown,,2024-12-07,False,,6.891684809695825
266,오후 8:17,94,용기사,,,2024-12-07,True,,37.91186019836644
269,오후 8:17,121,나이트,unknown,,2024-12-07,False,,30.994444444444447
269,오후 8:17,109,썬콜,unknown,,2024-12-07,False,,6.891684809695825
269,오후 8:17,109,시프,unknown,,2024-12-07,False,,23.9010989010989
272,오후 8:17,126,프리스트,793,불어전,2024-12-07,True,6.2936507936507935,6.215757789824323
272,오후 8:17,,프리스트,793,불어전,2024-12-07,False,,6.215757789824323
273,오후 8:17,90,용기사,unknown,,2024-12-07,False,,37.91186019836644
275,오후 8:17,134,프리스트,810,불어전,2024-12-07,True,6.044776119402985,6.215757789824323
275,오후 8:17,,프리스트,810,불어전,2024-12-07,False,,6.215757789824323
277,오후 8:17,152,허밋,unknown,,2024-12-07,False,,18.86360871563267
277,오후 8:17,127,허밋,unknown,,2024-12-07,False,,18.86360871563267
278,오후 8:17,129,크루세이더,4351,,2024-12-07,True,33.72868217054263,35.442523907344
278,오후 8:17,,크루세이더,4351,,2024-12-07,False,,35.442523907344
279,오후 8:17,,크루세이더,3330,,2024-12-07,False,,35.442523907344
281,오후 8:17,139,허밋,unknown,,2024-12-07,False,,18.86360871563267
281,오후 8:17,136,썬콜,unknown,,2024-12-07,False,,6.891684809695825
283,오후 8:17,120,썬콜,766,,2024-12-07,True,6.383333333333334,6.891684809695825
283,오후 8:17,,썬콜,766,,2024-12-07,False,,6.891684809695825
285,오후 8:17,,프리스트,748,검켄,2024-12-07,False,,6.215757789824323
288,오후 8:18,128,크루세이더,unknown,,2024-12-07,False,,35.442523907344
290,오후 8:18,119,용기사,unknown,골짜기,2024-12-07,False,,37.91186019836644
291,오후 8:18,130,나이트,unknown,와협,2024-12-07,False,,30.994444444444447
291,오후 8:18,166,저격수,unknown,와협,2024-12-07,False,,23.21914787922896
293,오후 8:18,119,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
293,오후 8:18,136,허밋,unknown,불어전,2024-12-07,False,,18.86360871563267
296,오후 8:18,134,저격수,unknown,와협,2024-12-07,False,,23.21914787922896
